"Fleet.Number","Registration","Details","Product","Distance","Unit","Litres","MPG","Cost"
"1044","YD14UWO","Peugeot Bipper Van Small","Diesel",1775,"Miles",188.01,42.92,300.816
"1045","YD14UWP","Peugeot Bipper Van Small","Diesel",5834,"Miles",579.56,45.76,927.296
"1047","YG64RYA","Volkswagen Caddy C20 TDI MAXI Van Small","Diesel",3794,"Miles",799.23,21.58,1278.768
"1048","YH64EWO","Volkswagen Caddy C20 TDI Maxi Van Small","Diesel",2017,"Miles",338.14,27.12,541.024
"1049","YH64YYU","Volkswagen Caddy C20 TDI Maxi Van Small","Diesel",6489,"Miles",1009.46,29.22,1615.136
"1050","YC14UTL","Peugeot Partner Van Small","Diesel",948,"Miles",99.02,43.52,158.432
"1052","YG14PGZ","Peugeot  Partner Van Small","Diesel",1948,"Miles",254.12,34.85,406.592
"1053","YG14PGE","Peugeot Partner Van Small","Diesel",1156,"Miles",177.95,29.53,284.72
"1055","YG14RZR","Peugeot Partner Van Small","Diesel",15180,"Miles",1769.51,39,2831.216
"1057","YD14UWL","Peugeot Partner Van Small","Diesel",2931,"Miles",330.87,40.27,529.392
"1059","YG14RZU","Peugeot Partner Van Small","Diesel",384,"Miles",88.15,19.8,141.04
"1061","YG14PGV","Peugeot Partner Van Small","Diesel",2029,"Miles",278.27,33.15,445.232
"1062","YG14URU","Peugeot Partner Van Small","Diesel",1662,"Miles",233.83,32.31,374.128
"1063","YG14USB","Peugeot Partner Van Small","Diesel",1110,"Miles",176.77,28.55,282.832
"1064","YG14PGU","Peugeot Partner Van Small","Diesel",1409,"Miles",155.63,41.16,249.008
"1065","YG14URY","Peugeot Partner Van Small","Diesel",1432,"Miles",113.54,57.34,181.664
"1067","YD64OKP","Peugeot Partner Van Small","Diesel",1854,"Miles",228.27,36.92,365.232
"1068","YB15WDT","Peugeot Partner Van Small","Diesel",7783,"Miles",881.67,40.13,1410.672
"1071","YB15ODV","Peugeot Partner Van Small","Diesel",7867,"Miles",948.47,37.71,1517.552
"1072","YB15OEE","Peugeot Partner Van Small","Diesel",9101,"Miles",1027.5,40.27,1644
"1073","YB15OEC","Peugeot Partner Van Small","Diesel",10729,"Miles",1227.27,39.74,1963.632
"1076","YJ65XUR","Ford Transit Courier Van Small","Diesel",11702,"Miles",1069.07,49.76,1710.512
"1077","YJ65XTG","Ford Transit Courier Van Small","Diesel",12121,"Miles",1062.71,51.85,1700.336
"1078","YJ65XXD","Ford Transit Courier Van Small","Diesel",9019,"Miles",834.99,49.1,1335.984
"1079","YC65MTF","Ford Transit Courier Van Small","Diesel",26028,"Miles",2071.84,57.11,3314.944
"1081","YC65MVD","Ford Transit Courier Van Small","Diesel",12682,"Miles",1209.82,47.65,1935.712
"1082","YC65MUU","Ford Transit Courier Van Small","Diesel",14058,"Miles",1253.67,50.98,2005.872
"1083","YC65MVA","Ford Transit Courier Van Small","Diesel",11537,"Miles",1047.49,50.07,1675.984
"1084","YF65NUE","Peugeot Bipper Van Small","Diesel",2958,"Miles",202.24,66.49,323.584
"1100","FL65EFY","Vauxhall COMBO Van Small","Diesel",5311,"Miles",624.98,38.63,999.968
"1101","YJ65HWN","Peugeot Partner Van Small","Diesel",3887,"Miles",453.15,39,725.04
"1115","ML60LXS","Peugeot Bipper Van Small","Diesel",169,"Miles",18.13,42.38,29.008
"1128","YE13NPJ","Ford Connect T220SWB van Van Small","Diesel",529,"Miles",105.22,22.86,168.352
"1129","YE13ULH","Ford Connect T220SWB van Van Small","Diesel",6187,"Miles",888.22,31.67,1421.152
"1131","YE13NVB","Ford Connect T220SWB van Van Small","Diesel",3777,"Miles",506.78,33.88,810.848
"1133","YF13TLU","Ford Connect T230LWB van Van Small","Diesel",2376,"Miles",279.46,38.65,447.136
"1137","YF13WCT","Ford Connect T230LWB van Van Small","Diesel",3533,"Miles",473.32,33.93,757.312
"1138","YF13TKU","Ford Connect T230LWB van Van Small","Diesel",1260,"Miles",216.98,26.4,347.168
"1140","YF13WCD","Ford Connect T230LWB van Van Small","Diesel",1583,"Miles",195.16,36.87,312.256
"1142","YF13VBN","Ford Connect T230LWB van Van Small","Diesel",5474,"Miles",854.84,29.11,1367.744
"1145","YF13TNN","Ford Connect T230LWB van Van Small","Diesel",300,"Miles",47.2,28.89,75.52
"1147","YB13YBS","Ford Connect T230LWB van Van Small","Diesel",2786,"Miles",396.72,31.93,634.752
"1150","YB13FRU","Ford Connect T230LWB van Van Small","Diesel",2018,"Miles",326.92,28.06,523.072
"1155","YB13LTJ","Ford Connect T230LWB van Van Small","Diesel",4178,"Miles",642.28,29.57,1027.648
"1157","YB13LTO","Ford Connect T230LWB van Van Small","Diesel",7374,"Miles",1045.71,32.06,1673.136
"1165","YF13VBO","Ford Connect T230LWB van Van Small","Diesel",399,"Miles",50.04,36.25,80.064
"1166","YF13TNE","Ford Connect T230LWB van Van Small","Diesel",306,"Miles",95.16,14.62,152.256
"1168","YF13VBU","Ford Connect T230LWB van Van Small","Diesel",1707,"Miles",254.59,30.48,407.344
"1169","YF13EPD","Ford Connect T230LWB van Van Small","Diesel",6060,"Miles",323.11,85.26,516.976
"1172","YC14UTS","Peugeot Partner Van Small","Diesel",4237,"Miles",507.66,37.94,812.256
"1178","YL63CCA","Peugeot Partner Van Small","Diesel",5591,"Miles",670.15,37.93,1072.24
"1181","YG14PGO","Peugeot Partner Van Small","Diesel",3909,"Miles",427.08,41.61,683.328
"1183","YD14VTN","Ford Connect T240LWB Van Van Small","Diesel",3214,"Miles",332.08,44,531.328
