"Fleet.Number","Registration","Details","Product","Distance","Unit","Litres","MPG","Cost"
"1555","YF15LKE","Ford Transit Custom 290L1 Van Medium","Diesel",11305,"Miles",1752.2,29.33,2803.52
"1556","YF15LLV","Ford Transit Custom 290L1 Van Medium","Diesel",8454,"Miles",1203.52,31.93,1925.632
"1557","YB15ZZN","Ford Transit Custom 290L1 Van Medium","Diesel",6232,"Miles",1132.54,25.02,1812.064
"1558","YA15AHL","Ford Transit Custom 290L1 Van Medium","Diesel",5771,"Miles",1272.97,20.61,2036.752
"1559","YA15GPO","Ford Transit Custom 290L1 Van Medium","Diesel",5707,"Miles",867.8,29.9,1388.48
"1560","YA15GPK","Ford Transit Custom 290L1 Van Medium","Diesel",4909,"Miles",823.22,27.11,1317.152
"1561","YF15LNW","Ford Transit Custom 290L1 Van Medium","Diesel",9563,"Miles",1649.77,26.35,2639.632
"1562","YJ16EGW","Ford Transit Custom 290L1 Van Medium","Diesel",4048,"Miles",690.39,26.66,1104.624
"1563","YJ16EGM","Ford Transit Custom 290L1 Van Medium","Diesel",11086,"Miles",1566.44,32.17,2506.304
"1564","YJ16EJR","Ford Transit Custom 290L1 Van Medium","Diesel",5739,"Miles",773.46,33.73,1237.536
"1565","YJ16MTS","Ford Transit Custom 290L1 Van Medium","Diesel",4244,"Miles",719.68,26.81,1151.488
"1566","YJ16EJP","Ford Transit Custom 290L1 Van Medium","Diesel",4685,"Miles",855.43,24.9,1368.688
"1567","YJ16EGS","Ford Transit Custom 290L1 Van Medium","Diesel",11830,"Miles",2124.75,25.31,3399.6
"1568","YJ16MTP","Ford Transit Custom 290L1 Van Medium","Diesel",4936,"Miles",1104.99,20.31,1767.984
"1569","YJ16MTC","Ford Transit Custom 290L1 Van Medium","Diesel",3141,"Miles",584.2,24.44,934.72
"1570","YJ16MSS","Ford Transit Custom 290L1 Van Medium","Diesel",4770,"Miles",815.89,26.58,1305.424
"1571","YJ16MSW","Ford Transit Custom 290L1 Van Medium","Diesel",8856,"Miles",1218.35,33.04,1949.36
"1572","YJ16EEK","Ford Transit Custom 290L1 Van Medium","Diesel",10972,"Miles",1641.07,30.39,2625.712
"1573","YJ16CBK","Ford Transit Custom 290L1 Van Medium","Diesel",5406,"Miles",941.5,26.1,1506.4
"1574","YJ16CBZ","Ford Transit Custom 290L1 Van Medium","Diesel",9586,"Miles",1392.83,31.29,2228.528
"1575","YJ16MSZ","Ford Transit Custom 290L1 Van Medium","Diesel",8788,"Miles",1247.79,32.02,1996.464
"1576","YJ16EGT","Ford Transit Custom 290L1 Van Medium","Diesel",7868,"Miles",1184.05,30.21,1894.48
"1577","YJ16EJT","Ford Transit Custom 290L1 Van Medium","Diesel",5420,"Miles",836.05,29.47,1337.68
"1578","YJ16EJS","Ford Transit Custom 290L1 Van Medium","Diesel",6950,"Miles",1140.94,27.69,1825.504
"1579","YJ16MTL","Ford Transit Custom 290L1 Van Medium","Diesel",5959,"Miles",932.64,29.05,1492.224
"1580","YJ16MTW","Ford Transit Custom 290L1 Van Medium","Diesel",6263,"Miles",980.2,29.05,1568.32
"1581","YJ16EGA","Ford Transit Custom 290L1 Van Medium","Diesel",10343,"Miles",1776.9,26.46,2843.04
"1582","YJ16MSR","Ford Transit Custom 290L1 Van Medium","Diesel",4071,"Miles",731.83,25.29,1170.928
"15/82","PO65FJC","Kubota RTVX900 ATV","Diesel",227,"Kilometres",101.15,6.34,161.84
"1583","YJ16MUR","Ford Transit Custom 290L1 Van Medium","Diesel",5530,"Miles",861.64,29.18,1378.624
"1584","YJ16MSP","Ford Transit Custom 290L1 Van Medium","Diesel",6097,"Miles",367.99,75.32,588.784
"1585","YJ16EJB","Ford Transit Custom 290L1 Van Medium","Diesel",5799,"Miles",945.01,27.9,1512.016
"1586","YJ16EHA","Ford Transit Custom 290L1 Van Medium","Diesel",10634,"Miles",1713.2,28.22,2741.12
"1587","YJ16EED","Ford Transit Custom 290L1 Van Medium","Diesel",13109,"Miles",1982.66,30.06,3172.256
"1588","YJ16MTR","Ford Transit Custom 290L1 Van Medium","Diesel",14965,"Miles",2118.14,32.12,3389.024
"15/88","PO16HKE","Kubota G2160 Ride on Mower","Diesel",51,"Miles",116.86,1.98,186.976
"1589","YL16XLX","Ford Transit Custom Van Medium","Diesel",3936,"Miles",692.26,25.85,1107.616
"1590","YL16ZXD","Ford Transit Custom 290L1 Van Medium","Diesel",5547,"Miles",889.09,28.36,1422.544
"1591","YL16ZYA","Ford Transit Custom 290L1 Van Medium","Diesel",9780,"Miles",1505.47,29.53,2408.752
"1592","YL16ZXB","Ford Transit Custom 290L1 Van Medium","Diesel",8537,"Miles",1476.63,26.28,2362.608
"1593","YL16XVT","Ford Transit Custom 290L1 Van Medium","Diesel",2624,"Miles",486.13,24.54,777.808
"1594","YL16ZXE","Ford Transit Custom 290L1 Van Medium","Diesel",5551,"Miles",984.16,25.64,1574.656
"1595","YD16MGT","Ford Transit Custom 290L1 Van Medium","Diesel",5175,"Miles",802.24,29.33,1283.584
"1596","YL16ZXW","Ford Transit Custom 290L1 Van Medium","Diesel",8541,"Miles",1389.46,27.94,2223.136
"1597","YH66UPG","Ford Transit Custom 290L1 Van Medium","Diesel",9691,"Miles",1487.93,29.61,2380.688
"1598","YH66UPF","Ford Transit Custom 290L1 Van Medium","Diesel",2335,"Miles",480.76,22.08,769.216
"1599","YH66URE","Ford Transit Custom 290L1 Van Medium","Diesel",8989,"Miles",1603.49,25.48,2565.584
"1600","YH66UPJ","Ford Transit Custom 290L1 Van Medium","Diesel",9636,"Miles",1318.44,33.23,2109.504
"1601","YB66BBO","FORD CUSTOM Van Medium","Diesel",3202,"Miles",341.66,42.61,546.656
"1602","YL66AWR","Ford Transit Custom 290L1 Van Medium","Diesel",9807,"Miles",1472.68,30.27,2356.288
"1603","YJ19UHL","  Van Medium","Diesel",12167,"Miles",2149.41,25.73,3439.056
"1604","YJ19UHM","  Van Medium","Diesel",8589,"Miles",1590.24,24.55,2544.384
"1605","MH68FWL","Renault Traffic Van Medium","Diesel",1959,"Miles",458.05,19.44,732.88
"1606","MH68FWK","Renault Traffic Van Medium","Diesel",10881,"Miles",1638.44,30.19,2621.504
"1607","MH68FWG","Renault Traffic Van Medium","Diesel",8434,"Miles",1162.25,32.99,1859.6
"1608","ML19HKY","Renault Traffic Van Medium","Diesel",3210,"Miles",561.92,25.97,899.072
"1609","MH68FWE","Renault Traffic Van Medium","Diesel",4755,"Miles",805.92,26.82,1289.472
"1610","MH68FWD","Renault Traffic Van Medium","Diesel",3453,"Miles",807.8,19.43,1292.48
"1611","MH68FWC","Renault  Traffic Van Medium","Diesel",4023,"Miles",695.34,26.3,1112.544
"1612","MH68FWB","Renault Traffic Van Medium","Diesel",9369,"Miles",1309.94,32.51,2095.904
"1613","MH68FWA","Renault Traffic Van Medium","Diesel",2581,"Miles",387.5,30.28,620
"1614","MH68FVY","Renault Traffic Van Medium","Diesel",12659,"Miles",1894.51,30.38,3031.216
"1615","MH68FVZ","Renault Traffic Van Medium","Diesel",7436,"Miles",1230.05,27.48,1968.08
"1616","ML19HMF","Renault Traffic Van Medium","Diesel",5880,"Miles",1106.72,24.15,1770.752
"1617","ML19HPJ","Renault Traffic Van Medium","Diesel",11487,"Miles",1750.4,29.83,2800.64
"1618","ML19HPK","Renault Traffic Van Medium","Diesel",7655,"Miles",1460.54,23.83,2336.864
"1619","ML19HMG","Renault Traffic Van Medium","Diesel",6267,"Miles",1013.23,28.12,1621.168
"1620","ML19HKX","Renault Traffic Van Medium","Diesel",10808,"Miles",1825.94,26.91,2921.504
"1621","ML19HKW","  Van Medium","Diesel",9126,"Miles",1451.61,28.58,2322.576
"1622","MH68FVR","Renault Traffic Van Medium","Diesel",5107,"Miles",1095.14,21.2,1752.224
"1623","ML19HKV","Renault Traffic Van Medium","Diesel",11599,"Miles",1602.56,32.9,2564.096
"1624","ML19HPF","Renault Traffic Van Medium","Diesel",6563,"Miles",1321.39,22.58,2114.224
"1625","MH68FVN","Renault Traffic Van Medium","Diesel",9079,"Miles",1413.2,29.21,2261.12
"1626","ML19HME","Renault Traffic Van Medium","Diesel",9147,"Miles",1537.53,27.05,2460.048
"1627","ML19HKT","Renault Traffic Van Medium","Diesel",9495,"Miles",1578.2,27.35,2525.12
"1628","ML19HNV","Renault Traffic Van Medium","Diesel",10205,"Miles",1512.75,30.67,2420.4
"1629","ML19HNU","Renault Traffic Van Medium","Diesel",2942,"Miles",586.75,22.79,938.8
"1630","ML19HNT","Renault Traffic Van Medium","Diesel",8268,"Miles",1309.19,28.71,2094.704
"1631","ML19HNR","Renault Traffic Van Medium","Diesel",3141,"Miles",592.91,24.08,948.656
"1632","ML19HPC","Renault Traffic Van Medium","Diesel",4058,"Miles",673.87,27.38,1078.192
"1633","ML19HNP","Renauly Traffic Van Medium","Diesel",7725,"Miles",1123.08,31.27,1796.928
"1634","ML19HNO","Renault Traffic Van Medium","Diesel",10405,"Miles",1445.93,32.71,2313.488
"1635","ML19HNN","Renault Traffic Van Medium","Diesel",5666,"Miles",907.06,28.4,1451.296
"1636","MH68FVA","Renault Traffic Van Medium","Diesel",3352,"Miles",613.33,24.85,981.328
"1637","ML19HNM","Renault Traffic Van Medium","Diesel",5311,"Miles",987.73,24.44,1580.368
"1638","ML19HNK","Renault Traffic Van Medium","Diesel",8552,"Miles",1148.88,33.84,1838.208
"1639","ML18HNJ","  Van Medium","Diesel",10024,"Miles",1635.02,27.87,2616.032
"1640","ML19HNH","Renault Traffic Van Medium","Diesel",5267,"Miles",747.08,32.05,1195.328
"1641","ML19HPE","Renault Traffic Van Medium","Diesel",11016,"Miles",1672.27,29.95,2675.632
"1642","ML19HNG","  Van Medium","Diesel",4875,"Miles",766.74,28.9,1226.784
"1643","ML19HNF","  Van Medium","Diesel",9872,"Miles",1522.29,29.48,2435.664
"1645","ML19HMO","  Van Medium","Diesel",6894,"Miles",1090.57,28.74,1744.912
"1646","ML19HMV","Renault Traffic Van Medium","Diesel",9702,"Miles",1600.98,27.55,2561.568
"1647","ML19HNE","Renault Traffic Van Medium","Diesel",9050,"Miles",1427.84,28.81,2284.544
"1648","ML19HND","Renault Traffic Van Medium","Diesel",8407,"Miles",1253.36,30.49,2005.376
"1649","ML19HNC","Renault Traffic Van Medium","Diesel",3729,"Miles",626.35,27.07,1002.16
"1650","ML19HNB","Renault Traffic Van Medium","Diesel",2918,"Miles",588.32,22.55,941.312
"1651","ML19HNA","Renault Traffic Van Medium","Diesel",5549,"Miles",1031.64,24.45,1650.624
"1652","ML19HMZ","Renault Traffic Van Medium","Diesel",13696,"Miles",1984.62,31.37,3175.392
"1653","ML19HMY","Renault Traffic Van Medium","Diesel",7735,"Miles",1276,27.56,2041.6
"1654","ML19HMX","Renault Traffic Van medium","Diesel",10795,"Miles",1947.6,25.2,3116.16
"1655","MH68FTT","Renault Traffic Van Medium","Diesel",8537,"Miles",1301.05,29.83,2081.68
"1656","MH68FTP","Renault Traffic Van Medium","Diesel",6302,"Miles",1031.86,27.76,1650.976
"1657","ML19HMK","Renault Traffic Van Medium","Diesel",4151,"Miles",658.9,28.64,1054.24
"1658","ML19HMJ","Renault Traffic Van Medium","Diesel",6914,"Miles",916.93,34.28,1467.088
"1659","ML19HMH","Renault Traffic Van Medium","Diesel",7410,"Miles",1081.29,31.15,1730.064
"1660","YA19TNK","  Van Medium","Diesel",1250,"Miles",240.67,23.61,385.072
"1661","YA19TMX","  Van Large","Diesel",6012,"Miles",1139.53,23.98,1823.248
"1662","YA19TNF","  Van Large","Diesel",4097,"Miles",861.07,21.63,1377.712
"1663","YA19TNJ","  Van Large","Diesel",8078,"Miles",1780.23,20.63,2848.368
"1664","MD19FDN","  Van Medium","Diesel",8108,"Miles",1382.66,26.66,2212.256
"1665","MC19MME","  Van Medium","Diesel",6576,"Miles",1006.35,29.71,1610.16
"1666","MD19FDM","  ","Diesel",6083,"Miles",801.2,34.52,1281.92
"1667","MC19MMO","  Van Medium","Diesel",8367,"Miles",1478.09,25.73,2364.944
"1668","MD19FDL","  Van Medium","Diesel",6299,"Miles",1077.59,26.57,1724.144
"1669","MC19MMU","  Van Medium","Diesel",5704,"Miles",939.1,27.61,1502.56
"1670","MD19ZZV","  Van Medium","Diesel",10857,"Miles",1825.17,27.04,2920.272
"1671","MC19MMA","  Van Medium","Diesel",4328,"Miles",702.52,28.01,1124.032
"1672","MC19MMJ","  Van Medium","Diesel",2171,"Miles",472.52,20.89,756.032
"1673","MC19MMK","  Van Medium","Diesel",6595,"Miles",1110.08,27.01,1776.128
"1674","MD19FDO","  Van Medium","Diesel",6015,"Miles",970.37,28.18,1552.592
"1676","MC19MMF","  Van Medium","Diesel",10207,"Miles",1545.47,30.02,2472.752
"1677","MD19ZZT","  Van Medium","Diesel",10700,"Miles",1491.26,32.62,2386.016
"1678","MD19FDP","  Van Medium","Diesel",4976,"Miles",800.58,28.26,1280.928
"1679","MD19ZZF","  Van Medium","Diesel",4720,"Miles",789.65,27.17,1263.44
"1680","MD19FDU","  Van Medium","Diesel",4695,"Miles",801.04,26.65,1281.664
"1681","MD19ZZS","  Van Medium","Diesel",7300,"Miles",1110.8,29.88,1777.28
"1682","MD19FDV","  Van Medium","Diesel",5051,"Miles",823.42,27.89,1317.472
"1683","MC19MLZ","  Van Medium","Diesel",4913,"Miles",674.29,33.12,1078.864
"1684","MD19FDX","  Van Medium","Diesel",7041,"Miles",1141.44,28.04,1826.304
"1685","MD19FDY","  Van Medium","Diesel",8595,"Miles",1385.08,28.21,2216.128
"1686","MD19FDZ","  Van Medium","Diesel",5580,"Miles",865.55,29.31,1384.88
"1687","MD19FEF","  Van Medium","Diesel",5866,"Miles",926.53,28.78,1482.448
"1688","MD19ZZE","  Van Medium","Diesel",7300,"Miles",1256.53,26.41,2010.448
"1689","MC19MLY","  Van Medium","Diesel",4150,"Miles",832.18,22.67,1331.488
"1690","MD19ZZC","  Van Medium","Diesel",9227,"Miles",1842.97,22.76,2948.752
"1691","MD19ZZR","  Van Medium","Diesel",3153,"Miles",583.36,24.57,933.376
"1692","MC19MLX","  Van Medium","Diesel",3666,"Miles",582.69,28.6,932.304
"1693","MD19MGZ","  Van Medium","Diesel",6721,"Miles",983.28,31.07,1573.248
"1751","YD14UWN","  Van Medium","Diesel",10422,"Miles",1914.53,24.75,3063.248
"1800","YG17FWW","Iveco Iveco Daily 35C12 Van Large","Diesel",7174,"Miles",1735.6,18.79,2776.96
"1801","YH17VCG","Peugeot Boxer 335 Van Van Large","Diesel",5055,"Miles",883.94,26,1414.304
"1802","MW17UYJ","Vauxhall Movano Panel Van Van Large","Diesel",6519,"Miles",1363.8,21.73,2182.08
"1803","MW17UYK","Vauxhall Movano Panel Van Van Large","Diesel",3874,"Miles",787.82,22.35,1260.512
"1804","YG19TEP","  Van Medium","Diesel",5323,"Miles",932.51,25.95,1492.016
"1805","YK19TDG","  Van Large","Diesel",15102,"Miles",2047.79,33.53,3276.464
"1806","YB19GUE","  Van Large","Diesel",17553,"Miles",2699.36,29.56,4318.976
"1807","YA19TNN","  Van Large","Diesel",12031,"Miles",2012.31,27.18,3219.696
"1808","YA19TNL","  Van Large","Diesel",9229,"Miles",1614.69,25.98,2583.504
"1809","YB19GTZ","  Van Large","Diesel",9942,"Miles",1741.28,25.96,2786.048
"1810","YL69OKF","Ford Transit Hybrid Van Medium","Diesel",7469,"Miles",1312.95,25.86,2100.72
"1811","YL69OKJ","Ford Transit Van Medium","Diesel",6147,"Miles",960.66,29.09,1537.056
"1812","YL69OKH","  Van Medium","Diesel",13355,"Miles",2049.5,29.62,3279.2
"1813","YL69OKE","  Van Medium","Diesel",5327,"Miles",845.38,28.65,1352.608
"1814","MA71BZR","  Van Medium","Diesel",13131,"Miles",1903.61,31.36,3045.776
"1815","MA71BZT","  Van Medium","Diesel",20586,"Miles",2692.72,34.76,4308.352
"1816","MA71OJH","  Van Medium","Diesel",7250,"Miles",1092.22,30.18,1747.552
"1866","MK16YUY","Vauxhall Movano Panel Van Van Large","Diesel",6320,"Miles",1287.04,22.32,2059.264
"1890","YF13WCP","Ford Transit 350L MR van Van Large","Diesel",4970,"Miles",754.42,29.95,1207.072
"1893","YG14RZV","Peugeot Boxer 335 Van Van Large","Diesel",4724,"Miles",998.71,21.5,1597.936
"1894","YD14UWB","Peugeot Boxer 335 Van Van Large","Diesel",4049,"Miles",831.87,22.13,1330.992
"1962","YJ63UWY","Ford Transit 350M Dside Flatback to 3.5t","Diesel",356,"Miles",144.88,11.17,231.808
"1963","YJ63UUZ","Ford Transit 350M Dside Flatback to 3.5t","Diesel",2282,"Miles",440.12,23.57,704.192
"1964","YJ14SJU","Peugeot Boxer 335 Tipper T/L Flatback to 3.5t","Diesel",14343,"Miles",2538.67,25.68,4061.872
"1965","YJ65HWD","Peugeot Boxer 335 Tipper T/L Flatback to 3.5t","Diesel",4363,"Miles",940.75,21.08,1505.2
"1968","YF65BZH","Ford Transit 350L tipper Tipper to 3.5t","Diesel",1722,"Miles",489.27,16,782.832
"1969","YF65VVH","Ford Transit 350L tipper Tipper to 3.5t","Diesel",4753,"Miles",1060.51,20.37,1696.816
"1970","YH17UAP","Ford Transit 350M DS T/L Flatback to 3.5t","Diesel",4948,"Miles",936.65,24.02,1498.64
"1971","YH17UBG","Ford Transit 350M Tip T/L Flatback to 3.5t","Diesel",15909,"Miles",2642.04,27.37,4227.264
"1972","YH17TXC","Ford Transit 350L DS T/L Flatback to 3.5t","Diesel",1784,"Miles",383.13,21.17,613.008
"1973","YB66XRY","Ford Transit 350L Dside Flatback to 3.5t","Diesel",6820,"Miles",1124.36,27.58,1798.976
"1974","YB66XNC","Ford Transit 350L Dside Flatback to 3.5t","Diesel",8186,"Miles",1386.19,26.85,2217.904
"1975","YB17CUV","Ford Transit 350M Dside T/L Flatback to 3.5t","Diesel",6671,"Miles",1401.67,21.64,2242.672
"1976","YA17KHB","Ford Transit 3.5t Crewcab Tipper","Diesel",6997,"Miles",1191.25,26.7,1906
"1977","MIK19TEV","Vauxhall Movano Tipper up to 3.5T","Diesel",7820,"Miles",1591.15,22.34,2545.84
"1978","MK19TEY","vauxha;; Movano Tipper to 3.5T","Diesel",3713,"Miles",703.46,24,1125.536
"1979","MK19TDZ","Vauxhall Movano Tipper to 3.5T","Diesel",3839,"Miles",709.87,24.59,1135.792
"1980","MK19RWV","Vauxhall Movano Tipper to 3.5T","Diesel",5284,"Miles",972.35,24.7,1555.76
"1981","YG69OAD","Peugeot Boxer L2 355 Dropside","Diesel",8382,"Miles",1767.18,21.56,2827.488
"1982","YF19TJH","  Tipper upto 3.5t","Diesel",10358,"Miles",1829.34,25.74,2926.944
"1983","YA19DGM","  Tipper upto 3.5t","Diesel",14975,"Miles",2207.66,30.84,3532.256
"1984","YG69OAE","Peugeot Boxer 3.5t Flackback","Diesel",1712,"Miles",465.44,16.72,744.704
"1985","YG69OAJ","Peugeot Boxer 3.5t Flackback","Diesel",7050,"Miles",1395.76,22.96,2233.216
"1986","YG69OAC","  Tipper upto 3.5t","Diesel",10565,"Miles",2068.15,23.22,3309.04
"1987","YE70OVT","  High Side Tipper","Diesel",5663,"Miles",1027.54,25.05,1644.064
"1988","YC20SPZ","  Drop Side Transit","Diesel",14222,"Miles",2227.64,29.02,3564.224
"1989","YC20SWW","  Drop Side Transit","Diesel",8570,"Miles",1232.05,31.62,1971.28
"1990","ML22NCD","  Van Medium","Diesel",4356,"Miles",917.67,21.58,1468.272
"1991","MW22KKY","  Van Medium","Diesel",4160,"Miles",831,22.76,1329.6
"1992","MW22LHR","  Van Medium","Diesel",3511,"Miles",685.81,23.27,1097.296
"1993","MW22LHN","  Van Medium","Diesel",6345,"Miles",1209.12,23.86,1934.592
"2201","YD69XXG","  Van Medium","Diesel",9234,"Miles",1825.48,23,2920.768
"2203","YG69NZZ","  Van Medium","Diesel",6332,"Miles",1255.65,22.93,2009.04
"2205","YG69NZX","  Van Medium","Diesel",6463,"Miles",1205.85,24.37,1929.36
"2206","FG70RYN","  VW Crafter CCTV Van","Diesel",10084,"Miles",1966.55,23.31,3146.48
"2217","YJ58OUA","Iveco 35S12 LWB HR Meeting Mobile Meeting room","Diesel",253,"Miles",108.55,10.6,173.68
"2218","YJ58OTZ","Iveco 35S12 LWB HR Meeting Mobile Meeting room","Diesel",700,"Miles",227.38,14,363.808
"2219","YJ58OTY","Iveco 35S12 LWB HR Meeting Mobile Meeting room","Diesel",404,"Miles",137.41,13.37,219.856
"2221","YJ58BDU","Iveco 35S12 LWB HR Meeting Mobile Meeting room","Diesel",1603,"Miles",402.7,18.1,644.32
"2222","YJ58OTG","Iveco 35S12 LWB HR Meeting Mobile Meeting room","Diesel",2125,"Miles",326.82,29.56,522.912
"2223","YJ60CZS","Iveco 35S12 LWB HR Meeting Mobile Meeting room","Diesel",4266,"Miles",613.79,31.6,982.064
"2224","YJ60CZT","Iveco 35S12 LWB HR Meeting Mobile Meeting room","Diesel",1250,"Miles",392.06,14.49,627.296
"2225","YJ60MSV","Iveco 35S12 LWB HR Meeting Mobile Meeting room","Diesel",101,"Miles",102.99,4.46,164.784
"2226","YJ14SVN","Peugeot Boxer Luton","Diesel",22009,"Miles",2597.36,38.52,4155.776
"2227","YJ14SVL","Peugeot Boxer Luton","Diesel",56940,"Miles",680.92,380.15,1089.472
"2607","MV67KYC","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",9769,"Miles",2311.18,19.22,3697.888
"2608","MV67KYF","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",6701,"Miles",1718.06,17.73,2748.896
"2609","MV67KYN","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",11054,"Miles",2720.88,18.47,4353.408
"2610","MV67KXW","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",7359,"Miles",1905.98,17.55,3049.568
"2611","MV67KXX","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",2480,"Miles",667.63,16.89,1068.208
"2612","MV67KVS","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",8889,"Miles",2209.44,18.29,3535.104
"2614","MV67KVJ","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",9070,"Miles",2252.33,18.31,3603.728
"2615","MV67KXN","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",9216,"Miles",2264.55,18.5,3623.28
"2616","MV67KXU","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",3365,"Miles",838.84,18.24,1342.144
"2617","MV67KWN","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",9345,"Miles",2216.93,19.16,3547.088
"2618","MV67KTA","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",2030,"Miles",663.41,13.91,1061.456
"2619","MV67KTL","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",3709,"Miles",901.73,18.7,1442.768
"2620","MV17CVW","Vauxhall MOVANO L3H1 CC Tip 3.5t CC Tipper","Diesel",2531,"Miles",783.61,14.68,1253.776
"2621","YJ69BZM","  Tipper up to 3.5t","Diesel",2140,"Miles",448.93,21.67,718.288
"2680","YC63CUV","Ford Transit 350CC Tip TL 3.5t CC Tipper","Diesel",838,"Miles",197.82,19.26,316.512
"2681","MV17CNX","Vauxhall Vavaro 3.5T Tipper","Diesel",5935,"Miles",1254.41,21.51,2007.056
"2682","MW17CWR","Vauxhall Movarno 3.5T Tipper","Diesel",4506,"Miles",913.92,22.41,1462.272
"2683","MV17CYA","Vauxhall Movano 3.5T Crewcab Tipper","Diesel",3320,"Miles",869.89,17.35,1391.824
"2684","MV17CXU","Vauxhall Movano 3.5t Crewcab Tipper","Diesel",6066,"Miles",1607.85,17.15,2572.56
"2685","MV17CUY","Vauxhall Movano 3.5t Crewcab Tipper","Diesel",4069,"Miles",984.34,18.79,1574.944
"2686","MV17CWK","Vauxhall Movano 3.5T Tipper","Diesel",577,"Miles",185.62,14.13,296.992
"2687","MV17CWL","Vauxhall Movano 3.5t Crewcab Tipper","Diesel",5127,"Miles",1097.02,21.25,1755.232
"2688","MV17DDL","Vauxall Movano 3.5T Crewcab Tipper","Diesel",3494,"Miles",1151.9,13.79,1843.04
"2689","MV17CUH","Vauxall Movano 3.5t Crewcab Tipper","Diesel",6831,"Miles",1600.76,19.4,2561.216
"2690","MV17CUG","Vauxhall Movano 3.5T Crewcab Tipper","Diesel",2280,"Miles",481.26,21.54,770.016
"2691","MV17CZK","Vauxhall  Monanro 3.5T Crewcab ipper","Diesel",2109,"Miles",567.82,16.89,908.512
"2692","MV17CFY","Vauvhall Movano 3.5t Crewcab Tipper","Diesel",1639,"Miles",375.91,19.82,601.456
"2693","MV17DGF","Vauxall Movano 3.5T Crewcab Tipper","Diesel",4082,"Miles",948,19.58,1516.8
"2702","YB63HFS","Ford Transit 3.5t Crew Tipper","Diesel",4294,"Miles",925.41,21.09,1480.656
"2704","YB63HFR","Ford Transit 3.5t Crew Tipper","Diesel",1147,"Miles",288.3,18.09,461.28
"2705","YB63HFP","Ford Transit 3.5t Crewcab Tipper","Diesel",1399,"Miles",376.44,16.9,602.304
"2706","YB63HGA","Ford Transit 3.5T Crewcab Tipper","Diesel",905,"Miles",273.99,15.02,438.384
"2707","YB63HFT","Ford Transit 3.5t Crewcab Tipper","Diesel",1672,"Miles",410.4,18.52,656.64
"2708","YB63HFU","Ford Transit 3.5t Crewcab Tipper","Diesel",1388,"Miles",359.41,17.56,575.056
"2713","YB63HHA","Ford Transit  3.5T Crewcab Tipper","Diesel",1920,"Miles",392.83,22.22,628.528
"2715","YB63HGL","Ford Transit 3.5t Crewcab Tipper","Diesel",92,"Miles",141.16,2.96,225.856
"2716","YB63HFY","Ford Transit 3.5t Crewcab Tipper","Diesel",5070,"Miles",928.25,24.83,1485.2
"2724","YB63HGM","Ford Transit 3.5t Crewcab Tipper","Diesel",184,"Miles",85.26,9.81,136.416
"2725","YB63HGN","Ford Transit 3.5t Crewcab Tipper","Diesel",609,"Miles",208.38,13.29,333.408
"2727","YB63HGC","Ford Transit 3.5t Crewcab Tipper","Diesel",671,"Miles",190.25,16.03,304.4
"2729","YB63HGE","Ford  Transit 3.5t Crewcab Tipper","Diesel",5413,"Miles",1080.02,22.78,1728.032
"2731","YA63UPG","Ford Transit 3.5t Crewcab Tipper","Diesel",2910,"Miles",622.17,21.26,995.472
"2733","YJ14SJX","Peugeot Tipper Crewcab","Diesel",1392,"Miles",337.29,18.76,539.664
"2734","YJ14SJY","Peugeot Boxer CCab Tipper 3.5t CC Tipper","Diesel",4984,"Miles",1054.92,21.48,1687.872
"2735","YJ14SJV","Peugeot Boxer CCab Tipper 3.5t CC Tipper","Diesel",3903,"Miles",934.44,18.99,1495.104
"2736","YF20WUB","FORD Transit 3.5t Tipper","Diesel",10082,"Miles",1678.35,27.31,2685.36
"2737","YG20TYB","Ford Transit 3.5T Crew Cab Tipper","Diesel",9740,"Miles",1798.45,24.62,2877.52
"2738","YC20SVL","FORD Transit 3.5t Tipper","Diesel",11745,"Miles",2033.19,26.26,3253.104
"2739","YC20SVK","FORD Transit 3.5t Tipper","Diesel",8296,"Miles",1422.8,26.51,2276.48
"2740","YC20SSJ","FORD Transit 3.5t Tipper","Diesel",4997,"Miles",943.14,24.09,1509.024
"2741","YC20SRX","Ford Transit 3.5t Tipper","Diesel",8844,"Miles",1572.55,25.57,2516.08
"2742","YG20TYT","Ford Transit 3.5t Tipper","Diesel",5101,"Miles",1139.1,20.36,1822.56
"2743","YG20TYK","Ford Transit 3.5t Tipper","Diesel",8831,"Miles",1442.06,27.84,2307.296
